repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,REGISTER,23,2,AndToAlt,0.892578125,0.951171875,3.0,5.0,2.0,3.0,6.0,0.9482421875,0.951171875,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,24,1,OrToAnd,0.8681640625,0.94921875,1.0,10.0,9.0,0.0,1.0,0.8681640625,0.9501953125,OrToAnd Register from OR TO AND
RANDOM,REGISTER,24,2,OrToAlt,0.94921875,0.9609375,1.0,9.0,8.0,1.0,2.0,0.9501953125,0.9609375,OrToAlt Currency from OR TO ALTERNATIVE
RANDOM,REGISTER,25,1,AndToAlt,0.8974609375,0.9208984375,2.0,9.0,7.0,0.0,2.0,0.8974609375,0.953125,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,25,2,OrToAnd,0.9208984375,0.9609375,1.0,7.0,6.0,2.0,3.0,0.953125,0.9609375,OrToAnd Register from OR TO AND
RANDOM,REGISTER,26,1,AndToOr,0.9609375,0.98046875,3.0,3.0,1.0,0.0,3.0,0.9609375,0.98046875,AndToOr Currency from AND TO OR
RANDOM,REGISTER,27,1,AndToAlt,0.9609375,0.984375,3.0,4.0,1.0,0.0,3.0,0.9609375,0.984375,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,27,2,AndToOr,0.984375,0.9921875,2.0,1.0,3.0,3.0,5.0,0.984375,0.9921875,AndToOr CardReader from AND TO OR
RANDOM,REGISTER,28,1,AndToAlt,0.94140625,0.951171875,2.0,6.0,4.0,0.0,2.0,0.94140625,0.951171875,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,28,2,AndToAlt,0.951171875,0.970703125,2.0,4.0,2.0,2.0,4.0,0.951171875,0.970703125,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,29,1,AndToAlt,0.9609375,1.0,3.0,3.0,0.0,0.0,3.0,0.9609375,1.0,AndToAlt Protocol from AND TO ALT
