id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
28,RANDOM,REGISTER,27,-1,0.9609375,0.9921875,5.0,4.0,3.0,0.0,5.0,2.5,2.5,1,162,0.9387517755681818,0.9921875,0
29,RANDOM,REGISTER,28,-1,0.94140625,0.970703125,4.0,6.0,2.0,0.0,4.0,2.5,2.5,1,156,0.9364524147727272,0.970703125,0
30,RANDOM,REGISTER,29,-1,0.9609375,1.0,3.0,3.0,0.0,0.0,3.0,2.5,2.5,0,49,0.9334992439516129,1.0,1
31,RANDOM,REGISTER,30,-1,0.951171875,0.98046875,3.0,4.0,1.0,0.0,3.0,2.5,2.5,1,160,0.9445845170454545,0.98046875,0
32,RANDOM,REGISTER,31,-1,0.7958984375,0.9609375,4.0,9.0,5.0,0.0,4.0,2.5,2.5,1,163,0.8794300426136363,0.9609375,0
33,RANDOM,REGISTER,32,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1,91,0.9715996413934426,1.0,1
34,RANDOM,REGISTER,33,-1,0.861328125,0.955078125,6.0,11.0,5.0,0.0,6.0,2.5,2.5,1,165,0.8823686079545454,0.955078125,0
35,RANDOM,REGISTER,34,-1,0.8544921875,0.9609375,4.0,8.0,4.0,0.0,4.0,2.5,2.5,1,160,0.8928355823863636,0.9609375,0
36,RANDOM,REGISTER,35,-1,0.9501953125,0.9765625,4.0,6.0,2.0,0.0,4.0,2.5,2.5,1,162,0.9355024857954546,0.9765625,0
37,RANDOM,REGISTER,36,-1,0.7958984375,0.9609375,4.0,9.0,5.0,0.0,4.0,2.5,2.5,1,155,0.8676935369318182,0.9609375,0
38,RANDOM,REGISTER,37,-1,0.9140625,0.97265625,6.0,9.0,4.0,0.0,6.0,2.5,2.5,1,157,0.9164506392045455,0.97265625,0
39,RANDOM,REGISTER,38,-1,0.9296875,0.9609375,3.0,8.0,5.0,0.0,3.0,2.5,2.5,0,160,0.9254083806818182,0.9609375,0
40,RANDOM,REGISTER,39,-1,0.8984375,0.9765625,6.0,7.0,2.0,0.0,6.0,2.5,2.5,1,160,0.9113813920454545,0.9765625,0
41,RANDOM,REGISTER,40,-1,0.921875,1.0,4.0,4.0,0.0,0.0,4.0,2.5,2.5,1,86,0.9237160604508197,1.0,1
42,RANDOM,REGISTER,41,-1,0.951171875,0.966796875,4.0,9.0,6.0,0.0,4.0,2.5,2.5,1,165,0.9426225142045455,0.966796875,0
43,RANDOM,REGISTER,42,-1,0.96875,0.984375,2.0,5.0,4.0,0.0,2.0,2.5,2.5,1,165,0.9547940340909091,0.984375,0
44,RANDOM,REGISTER,43,-1,0.9482421875,0.9609375,4.0,9.0,5.0,0.0,4.0,2.5,2.5,1,168,0.9026278409090909,0.9609375,0
45,RANDOM,REGISTER,44,-1,0.9150390625,0.9609375,2.0,9.0,7.0,0.0,2.0,2.5,2.5,1,159,0.9209161931818182,0.9609375,0
46,RANDOM,REGISTER,45,-1,0.919921875,0.9580078125,4.0,8.0,6.0,0.0,4.0,2.5,2.5,1,158,0.9139204545454546,0.9580078125,0
47,RANDOM,REGISTER,46,-1,0.97265625,1.0,2.0,2.0,0.0,0.0,2.0,2.5,2.5,1,132,0.9583675986842105,1.0,1
48,RANDOM,REGISTER,47,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1,95,0.9690987723214286,1.0,1
49,RANDOM,REGISTER,48,-1,0.9609375,1.0,3.0,3.0,0.0,0.0,3.0,2.5,2.5,0,32,0.9386393229166666,1.0,1
50,RANDOM,REGISTER,49,-1,0.9296875,0.98046875,6.0,7.0,1.0,0.0,6.0,2.5,2.5,1,166,0.92763671875,0.98046875,0
51,RANDOM,REGISTER,50,-1,0.9609375,0.984375,3.0,6.0,3.0,0.0,3.0,2.5,2.5,0,158,0.9492276278409091,0.984375,0
52,RANDOM,REGISTER,51,-1,0.8447265625,0.96875,4.0,7.0,3.0,0.0,4.0,2.5,2.5,1,156,0.8926047585227272,0.96875,0
53,RANDOM,REGISTER,52,-1,0.939453125,0.95703125,3.0,10.0,7.0,0.0,3.0,2.5,2.5,1,152,0.9314719460227273,0.95703125,0
54,RANDOM,REGISTER,53,-1,0.98046875,1.0,1.0,1.0,0.0,0.0,1.0,2.5,2.5,0,32,0.9644416360294118,1.0,1
55,RANDOM,REGISTER,54,-1,0.93359375,0.96875,4.0,7.0,3.0,0.0,4.0,2.5,2.5,1,167,0.9216796875,0.96875,0
56,RANDOM,REGISTER,55,-1,0.9521484375,0.9765625,1.0,3.0,2.0,0.0,1.0,2.5,2.5,0,159,0.9390092329545454,0.9765625,0
57,RANDOM,REGISTER,56,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1,84,0.9730573381696429,1.0,1
58,RANDOM,REGISTER,57,-1,0.892578125,0.98046875,4.0,5.0,1.0,0.0,4.0,2.5,2.5,1,159,0.8855735085227273,0.98046875,0
59,RANDOM,REGISTER,58,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1,115,0.96473388671875,1.0,1
60,RANDOM,REGISTER,59,-1,0.8828125,0.98046875,6.0,6.0,1.0,0.0,6.0,2.5,2.5,1,170,0.896786221590909,0.98046875,0
61,RANDOM,REGISTER,60,-1,0.951171875,1.0,2.0,2.0,0.0,0.0,2.0,2.5,2.5,1,100,0.9393028846153846,1.0,1
62,RANDOM,REGISTER,61,-1,0.875,0.953125,6.0,10.0,10.0,0.0,6.0,2.5,2.5,1,169,0.8946555397727273,0.953125,0
63,RANDOM,REGISTER,62,-1,0.9501953125,0.96875,4.0,6.0,3.0,0.0,4.0,2.5,2.5,1,163,0.9337357954545454,0.96875,0
64,RANDOM,REGISTER,63,-1,0.8291015625,0.9609375,4.0,12.0,8.0,0.0,4.0,2.5,2.5,1,186,0.887508877840909,0.9609375,0
65,RANDOM,REGISTER,64,-1,0.8916015625,0.9609375,2.0,8.0,6.0,0.0,2.0,2.5,2.5,1,166,0.9038352272727272,0.9609375,0
66,RANDOM,REGISTER,65,-1,0.9296875,0.9921875,4.0,5.0,1.0,0.0,4.0,2.5,2.5,1,153,0.9315962357954546,0.9921875,0
67,RANDOM,REGISTER,66,-1,0.953125,0.96875,2.0,7.0,5.0,0.0,2.0,2.5,2.5,1,165,0.9509588068181818,0.96875,0
68,RANDOM,REGISTER,67,-1,0.8837890625,0.96875,2.0,5.0,3.0,0.0,2.0,2.5,2.5,1,152,0.9085493607954546,0.96875,0
69,RANDOM,REGISTER,68,-1,0.8984375,0.9609375,3.0,9.0,6.0,0.0,3.0,2.5,2.5,0,147,0.9146218039772728,0.9609375,0
70,RANDOM,REGISTER,69,-1,0.9580078125,0.96875,2.0,5.0,5.0,0.0,2.0,2.5,2.5,1,155,0.9486505681818181,0.96875,0
