id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
76,TRUNCATION_2PERCENT,EXAMPLE,75,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,33,1.0,1.0,1
77,TRUNCATION_2PERCENT,EXAMPLE,76,-1,0.875,0.75,4.0,8.0,6.0,0.0,4.0,1.3333333333333333,1.0,5,180,0.75,0.75,0
78,TRUNCATION_2PERCENT,EXAMPLE,77,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,59,0.8875,1.0,1
79,TRUNCATION_2PERCENT,EXAMPLE,78,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,61,0.84375,1.0,1
80,TRUNCATION_2PERCENT,EXAMPLE,79,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,59,0.74375,1.0,1
81,TRUNCATION_2PERCENT,EXAMPLE,80,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,63,0.84375,1.0,1
82,TRUNCATION_2PERCENT,EXAMPLE,81,-1,0.625,0.75,4.0,8.0,5.0,0.0,4.0,2.0,1.5,6,217,0.6875,0.75,0
83,TRUNCATION_2PERCENT,EXAMPLE,82,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,1.3333333333333333,1.0,5,183,0.75,0.75,0
84,TRUNCATION_2PERCENT,EXAMPLE,83,-1,0.625,0.75,4.0,10.0,6.0,0.0,4.0,1.3333333333333333,1.0,7,248,0.75,0.75,0
85,TRUNCATION_2PERCENT,EXAMPLE,84,-1,0.75,0.75,3.0,6.0,5.0,0.0,3.0,2.0,1.5,7,247,0.69375,0.75,0
86,TRUNCATION_2PERCENT,EXAMPLE,85,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,90,0.85,1.0,1
87,TRUNCATION_2PERCENT,EXAMPLE,86,-1,0.75,0.75,3.0,7.0,4.0,0.0,3.0,1.3333333333333333,1.0,6,213,0.75,0.75,0
88,TRUNCATION_2PERCENT,EXAMPLE,87,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,29,1.0,1.0,1
89,TRUNCATION_2PERCENT,EXAMPLE,88,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,59,0.81875,1.0,1
90,TRUNCATION_2PERCENT,EXAMPLE,89,-1,0.625,0.75,5.0,9.0,6.0,0.0,5.0,2.0,1.5,6,215,0.6875,0.75,0
91,TRUNCATION_2PERCENT,EXAMPLE,90,-1,0.5,0.875,4.0,7.0,6.0,0.0,4.0,2.0,1.5,6,216,0.7375,0.875,0
92,TRUNCATION_2PERCENT,EXAMPLE,91,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
93,TRUNCATION_2PERCENT,EXAMPLE,92,-1,0.875,0.75,4.0,8.0,6.0,0.0,4.0,2.0,1.5,5,181,0.6875,0.75,0
94,TRUNCATION_2PERCENT,EXAMPLE,93,-1,0.5,0.75,5.0,9.0,5.0,0.0,5.0,1.3333333333333333,1.0,8,277,0.75,0.75,0
95,TRUNCATION_2PERCENT,EXAMPLE,94,-1,0.75,0.625,4.0,8.0,5.0,0.0,4.0,1.3333333333333333,1.0,5,184,0.625,0.625,0
96,TRUNCATION_2PERCENT,EXAMPLE,95,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,62,0.8375,1.0,1
97,TRUNCATION_2PERCENT,EXAMPLE,96,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,67,0.86875,1.0,1
98,TRUNCATION_2PERCENT,EXAMPLE,97,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
99,TRUNCATION_2PERCENT,EXAMPLE,98,-1,0.75,0.75,3.0,9.0,6.0,0.0,3.0,1.3333333333333333,1.0,6,210,0.75,0.75,0
100,TRUNCATION_2PERCENT,EXAMPLE,99,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,89,0.8375,1.0,1
101,TRUNCATION_5PERCENT,EXAMPLE,0,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
102,TRUNCATION_5PERCENT,EXAMPLE,1,-1,0.75,0.875,4.0,6.0,6.0,0.0,4.0,2.0,1.5,6,212,0.7,0.875,0
103,TRUNCATION_5PERCENT,EXAMPLE,2,-1,0.75,0.875,5.0,6.0,6.0,0.0,5.0,2.0,1.5,7,245,0.725,0.875,0
104,TRUNCATION_5PERCENT,EXAMPLE,3,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,32,1.0,1.0,1
105,TRUNCATION_5PERCENT,EXAMPLE,4,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
106,TRUNCATION_5PERCENT,EXAMPLE,5,-1,0.75,0.875,4.0,6.0,6.0,0.0,4.0,2.0,1.5,6,215,0.66875,0.875,0
107,TRUNCATION_5PERCENT,EXAMPLE,6,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,64,0.83125,1.0,1
108,TRUNCATION_5PERCENT,EXAMPLE,7,-1,0.875,0.75,4.0,7.0,4.0,0.0,4.0,1.3333333333333333,1.0,5,176,0.75,0.75,0
109,TRUNCATION_5PERCENT,EXAMPLE,8,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,2.0,1.5,5,182,0.70625,0.75,0
110,TRUNCATION_5PERCENT,EXAMPLE,9,-1,0.375,0.75,3.0,10.0,7.0,0.0,3.0,2.0,1.5,7,247,0.5,0.75,0
111,TRUNCATION_5PERCENT,EXAMPLE,10,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
112,TRUNCATION_5PERCENT,EXAMPLE,11,-1,0.5,0.625,6.0,9.0,6.0,0.0,6.0,1.3333333333333333,1.0,7,244,0.625,0.625,0
113,TRUNCATION_5PERCENT,EXAMPLE,12,-1,0.25,0.75,4.0,8.0,6.0,0.0,4.0,2.0,1.5,6,217,0.55625,0.75,0
114,TRUNCATION_5PERCENT,EXAMPLE,13,-1,0.75,0.75,2.0,7.0,5.0,0.0,2.0,2.0,1.5,6,219,0.70625,0.75,0
115,TRUNCATION_5PERCENT,EXAMPLE,14,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
116,TRUNCATION_5PERCENT,EXAMPLE,15,-1,0.625,0.875,4.0,8.0,6.0,0.0,4.0,2.0,1.5,6,215,0.7125,0.875,0
117,TRUNCATION_5PERCENT,EXAMPLE,16,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,59,0.88125,1.0,1
118,TRUNCATION_5PERCENT,EXAMPLE,17,-1,0.75,0.625,4.0,8.0,5.0,0.0,4.0,1.3333333333333333,1.0,5,182,0.625,0.625,0
119,TRUNCATION_5PERCENT,EXAMPLE,18,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,31,1.0,1.0,1
120,TRUNCATION_5PERCENT,EXAMPLE,19,-1,0.75,0.75,3.0,8.0,6.0,0.0,3.0,2.0,1.5,6,216,0.66875,0.75,0
121,TRUNCATION_5PERCENT,EXAMPLE,20,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,63,0.9,1.0,1
122,TRUNCATION_5PERCENT,EXAMPLE,21,-1,0.875,0.875,3.0,9.0,6.0,0.0,3.0,2.0,1.5,5,181,0.69375,0.875,0
123,TRUNCATION_5PERCENT,EXAMPLE,22,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,63,0.78125,1.0,1
124,TRUNCATION_5PERCENT,EXAMPLE,23,-1,0.75,0.75,3.0,7.0,4.0,0.0,3.0,2.0,1.5,6,214,0.6875,0.75,0
125,TRUNCATION_5PERCENT,EXAMPLE,24,-1,0.625,0.875,5.0,7.0,6.0,0.0,5.0,2.0,1.5,8,271,0.69375,0.875,0
126,TRUNCATION_5PERCENT,EXAMPLE,25,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,58,0.825,1.0,1
127,TRUNCATION_5PERCENT,EXAMPLE,26,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,89,0.8125,1.0,1
128,TRUNCATION_5PERCENT,EXAMPLE,27,-1,0.5,0.75,5.0,8.0,4.0,0.0,5.0,1.3333333333333333,1.0,8,272,0.75,0.75,0
129,TRUNCATION_5PERCENT,EXAMPLE,28,-1,0.75,0.75,2.0,9.0,7.0,0.0,2.0,2.0,1.5,6,208,0.6125,0.75,0
130,TRUNCATION_5PERCENT,EXAMPLE,29,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,29,1.0,1.0,1
131,TRUNCATION_5PERCENT,EXAMPLE,30,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,2,89,0.85,1.0,1
132,TRUNCATION_5PERCENT,EXAMPLE,31,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,62,0.78125,1.0,1
133,TRUNCATION_5PERCENT,EXAMPLE,32,-1,0.75,0.75,3.0,7.0,6.0,0.0,3.0,2.0,1.5,7,238,0.66875,0.75,0
134,TRUNCATION_5PERCENT,EXAMPLE,33,-1,0.625,0.75,5.0,8.0,3.0,0.0,5.0,2.0,1.5,6,210,0.71875,0.75,0
135,TRUNCATION_5PERCENT,EXAMPLE,34,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,59,0.875,1.0,1
136,TRUNCATION_5PERCENT,EXAMPLE,35,-1,0.625,0.625,5.0,8.0,5.0,0.0,5.0,1.3333333333333333,1.0,6,211,0.625,0.625,0
137,TRUNCATION_5PERCENT,EXAMPLE,36,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,90,0.78125,1.0,1
138,TRUNCATION_5PERCENT,EXAMPLE,37,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,90,0.86875,1.0,1
139,TRUNCATION_5PERCENT,EXAMPLE,38,-1,0.875,0.875,3.0,8.0,5.0,0.0,3.0,2.0,1.5,5,181,0.70625,0.875,0
140,TRUNCATION_5PERCENT,EXAMPLE,39,-1,0.875,0.75,3.0,8.0,6.0,0.0,3.0,2.0,1.5,5,181,0.7125,0.75,0
141,TRUNCATION_5PERCENT,EXAMPLE,40,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,89,0.80625,1.0,1
142,TRUNCATION_5PERCENT,EXAMPLE,41,-1,0.25,0.875,5.0,7.0,7.0,0.0,5.0,4.0,3.0,7,238,0.5625,0.875,0
143,TRUNCATION_5PERCENT,EXAMPLE,42,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,2.0,1.5,5,180,0.68125,0.75,0
144,TRUNCATION_5PERCENT,EXAMPLE,43,-1,0.75,0.75,2.0,6.0,4.0,0.0,2.0,2.0,1.5,7,242,0.68125,0.75,0
145,TRUNCATION_5PERCENT,EXAMPLE,44,-1,0.75,0.75,3.0,8.0,5.0,0.0,3.0,1.3333333333333333,1.0,6,210,0.75,0.75,0
